id_pedido,cliente,zona,fecha_creacion,fecha_entrega,estado,repartidor,metodo_pago,monto
238,Sofia Marin,Norte,2026-08-18 13:37:20,2026-08-18 15:01:20,entregado,Bici-03 Nicolas,tarjeta,17617.38
239,Tomas Beltran,Chapinero,2026-08-15 16:26:20,2026-08-15 16:46:20,entregado,Moto-02 Sara,efectivo,44407.66
240,Julia Pena,Centro,2026-08-21 12:37:20,2026-08-21 13:36:20,entregado,Bici-01 Andres,app,13348.11
241,Valentina Cano,Norte,2026-08-03 13:40:20,2026-08-03 14:00:20,entregado,Bici-02 Camila,app,74804.35
242,Paula Leon,Sur,2026-08-08 15:06:20,2026-08-08 15:38:20,entregado,Bici-02 Camila,app,51718.09
243,Carlos Ruiz,Occidente,2026-07-26 11:13:20,2026-07-26 11:33:20,entregado,Bici-02 Camila,tarjeta,28732.05
244,Natalia Rios,Chapinero,2026-08-06 23:00:20,,cancelado,,app,51292.18
245,Kevin Silva,Sur,2026-07-25 06:17:20,2026-07-25 07:14:20,entregado,Bici-01 Andres,tarjeta,83557.5
246,Oscar Parra,Centro,2026-08-05 00:43:20,,pendiente,,tarjeta,73694.54
247,Ricardo Salas,Sur,2026-08-10 04:37:20,2026-08-10 05:26:20,entregado,Bici-03 Nicolas,app,53294.44
248,Oscar Parra,Norte,2026-07-27 08:32:20,2026-07-27 09:56:20,entregado,Bici-02 Camila,app,94593.15
249,Laura Vega,Norte,2026-08-05 23:10:20,2026-08-06 00:19:20,entregado,Moto-02 Sara,app,36538.12
250,Paula Leon,Centro,2026-07-31 04:19:20,2026-07-31 05:29:20,entregado,Moto-01 Felipe,efectivo,72325.59
251,Diana Torres,Norte,2026-08-05 02:11:20,2026-08-05 03:31:20,entregado,Moto-01 Felipe,app,64913.54
252,Fernanda Diaz,Norte,2026-08-26 17:23:20,2026-08-26 17:42:20,entregado,Moto-02 Sara,app,68281.38
253,Mateo Nunez,Centro,2026-07-29 08:10:20,,pendiente,,tarjeta,90805.77
254,Mateo Nunez,Occidente,2026-07-25 01:40:20,2026-07-25 03:08:20,entregado,Bici-01 Andres,tarjeta,48846.96
255,Laura Vega,Occidente,2026-07-29 20:41:20,2026-07-29 20:59:20,entregado,Bici-01 Andres,app,35131.25
256,Natalia Rios,Chapinero,2026-08-26 01:51:20,,en_camino,Moto-01 Felipe,app,21774.16
257,Kevin Silva,Chapinero,2026-08-24 15:17:20,2026-08-24 15:57:20,entregado,Moto-02 Sara,app,88067.75
258,Paula Leon,Norte,2026-07-29 04:15:20,,pendiente,,efectivo,86590.36
259,Mateo Nunez,Centro,2026-08-12 20:28:20,,cancelado,,app,17389.94
260,Gabriel Mora,Centro,2026-08-17 06:29:20,,en_camino,Moto-03 Daniela,app,70893.79
